query_id,category,query,jaccard_overlap,bge-m3_avg_sim,bge-m3_max_sim,bge-m3_avg_relevance,bge-m3-ko_avg_sim,bge-m3-ko_max_sim,bge-m3-ko_avg_relevance
Q1,tech,바나듐 레독스 플로우 배터리 에너지 밀도 효율 성능,0.2500,0.0219,0.1822,0.40,0.0015,0.1633,0.40
Q2,tech,수소 연료전지 스택 기술 내구성 사양,0.4286,0.0838,0.1154,0.00,0.1225,0.1798,0.00
Q3,tech,ESS 배터리 관리 시스템 BMS 안전 기술,0.4286,0.1158,0.1671,0.80,0.0591,0.1090,1.00
Q4,tech,리튬인산철 LFP 배터리 사이클 수명 비교,0.4286,0.0014,0.1381,0.40,-0.0648,0.1081,0.40
Q5,tech,에너지 저장 시스템 충방전 효율 기술 차별성,0.4286,0.0556,0.1083,0.80,0.1248,0.1815,1.20
Q6,market,에너지 저장 시장 규모 성장률 TAM SAM SOM,0.6667,0.0769,0.1480,1.40,-0.0994,-0.0196,1.80
Q7,market,수소경제 정책 IRA 보조금 시장 전망 2025,1.0000,0.0532,0.1251,1.20,-0.0178,0.0151,1.00
Q8,market,배터리 ESS 시장 글로벌 성장 전망,1.0000,0.4331,0.5262,1.40,0.1830,0.3358,1.40
Q9,market,재생에너지 연계 에너지 저장 수요 전망,0.2500,0.1224,0.1563,1.00,-0.0450,-0.0178,0.80
Q10,market,한국 에너지 전환 정책 탄소중립 투자 규모,0.4286,0.2465,0.2679,1.40,-0.0037,0.0243,1.60
Q11,competitor,레독스 플로우 배터리 경쟁사 시장 점유율 비교,0.6667,-0.0331,0.0118,0.40,-0.1172,-0.0182,0.40
Q12,competitor,수소 연료전지 스타트업 경쟁 환경 진입장벽,0.4286,0.0968,0.1590,0.20,0.0345,0.1150,0.00
Q13,competitor,ESS 배터리 제조사 경쟁 구도 대체기술,0.4286,0.1673,0.1840,1.20,0.0776,0.0929,1.20
Q14,competitor,에너지 스타트업 투자 유치 실적 비교,0.4286,0.1856,0.2187,1.60,-0.0098,0.0645,1.40
Q15,competitor,SK 에너지 밸류체인 시너지 배터리 협력사,0.6667,0.3585,0.4139,1.40,0.1958,0.2462,1.60
